,제목,분류
0,해외에서 주문하고 싶어요,배송
1,해외배송의 배송 기간은 어떻게 되나요?,배송
2,해외카드 결제가 가능한가요?,배송
3,"['\nA\n★ 주문시 꼭 기재하실 정보 : 우편번호  영문주소  영문이름  해외 연락처\xa0★ 해외배송 절차주문 후 룸페커로 연락 > 상품 준비 > 배송비 책정후 입금안내 메일발송 > 배송비 입금 후 룸페커로 연락 > 입금 확인후 상품 출고\xa01. 원하시는 상품을 장바구니에 담아 주문해 주세요.\xa02. 배송지 정보 입력시 [우편번호 검색] 클릭 > 지번주소로 선택 후 지역명에 "" 해외 "" 로 검색하세요.검색결과\xa0 (000-000) 해외에 거주하시는 분입니다.(oversea)\xa0 라는 문구가 뜨면 [선택] 버튼을 누르신 후\xa0받으실 곳의 우편번호와 주소를 영문으로 입력해 주시면 됩니다.\xa03. 주문메시지에 영문이름  해외에서 연락가능한 연락처를 꼭 메모 부탁드립니다.\xa0결제후 질문게시판이나 톡톡으로 문의글을 남겨주세요!상품이 모두 준비되면 나라와 무게에 따라 해외배송비를 책정해 고객님께 메일로 입금 안내해 드립니다.해외배송비 입금 후 질문 게시판이나 톡톡으로 입금 여부 남겨주시면\xa0입금 확인 후 준비 된 상품을 우체국 EMS로 발송해 드립니다.\xa0\xa0★ 참고해주세요.\xa0\xa0- 각 나라와 상품의 무게로 배송비는 미리 측정이 어렵습니다.- 배송지 주소를 임의로 국내주소지로 입력하실 경우 해외배송이 어려울수 있습니다.- 해외배송은 부분배송이 불가하며  상품 재고에 따라 준비기간 2~7일 정도 소요될 수 있습니다.지역별 해외배송비 요금조회 :\xa0http://ems.epost.go.kr/front.EmsDeliveryDelivery01.postal\xa0\n']",배송
4,['\nA\n업체에서 출고이후 넉넉하게 7~15일 정도 안내드리고 있으며  \n지역에 따라 소요기간은 다른점 양해부탁드립니다.\n'],배송
5,['\nA\n너무나 죄송하게도 해외카드결제는 어렵답니다.\n이점 양해부탁드리구요.\n해외에서 결제하실 경우 한국에 계시는 지인분께 연결하시어 결제 부탁드릴께요.\n'],배송
6,회원등급별 할인혜택,회원
7,룸페커 회원혜택이 어떻게 되나요?,회원
8,첫구매 감사 6% 할인쿠폰이 궁금해요,회원
9,회원등급할인과 쿠폰할인이 합산되어 할인되지 않아요,회원
10,회원가입시 적은 회원정보가 기억나지 않아요,회원
11,회원정보를 변경하려면 어떻게 하나요?,회원
12,보유하고 있는 적립금/예치금은 어디서 확인할 수 있나요?,회원
13,ID와 비밀번호를 잊어버렸어요,회원
14,ID와 비밀번호가 맞는데 로그인이 안되요.,회원
15,다른 사람의 이름으로 메일이나 문자가 오고 있어요,회원
16,회원 탈퇴후 재가입은 언제쯤 가능한가요.,회원
17,회원탈퇴는 어떻게 하나요?,회원
18,탈퇴할때 사용했던 아이디로 재가입이 가능한가요?,회원
19,해외에 거주하는 사람도 회원가입이 가능하나요?,회원
20,회원 아이디는 변경할 수 없나요?,회원
21,회원탈퇴 후는 어떻게 되나요?,회원
22,['\nA\n회원혜택은 아래 링크를 클릭하시면 자세한 내용 확인하실 수 있습니다.[룸페커 회원혜택 보러가기]\u200b\ufeff\n'],회원
23,['\nA\n아래 링크를 클릭하시면 회원혜택에 대해 자세히 확인 가능합니다.[룸페커 회원혜택 보러가기]\n'],회원
24,['\nA\n저희 룸페커를 찾아주시고 구매해주신 고객님들께 감사드리고자 \n2015년 4월 1일 기준으로 새로 준비된 혜택입니다\n가입후 첫 구매를 하시고 배송완료된 시점으로 부터 3일이내 자동발급되며\n유효기간 90일내 사용 가능한 6%할인쿠폰 입니다\n회원에 한해 1회 발급되며  비회원은 해당되지 않는 점 참고부탁드리며 \n첫구매 주문건을 전체 반품하신경우 쿠폰은 삭제됩니다.\n사용하신 쿠폰은 재발급되지 않습니다\n\xa0\n\xa0\n\xa0\n'],회원
25,['\nA\n회원등급할인과 쿠폰할인은 함께 할인은 가능하나\n동시적용되지는 않습니다.\n회원등급할인이 우선순위를 가지며 회원등급할인후 쿠폰할인이 적용됩니다\n*쿠폰은 중복할인이 되지않습니다\n'],회원
26,['\nA\n로그인 후 [마이페이지]에서 모든 고객님의 정보는 확인 가능합니다만  \n로그인이 되지 않는 상태에서는\n룸페커 고객센터(1661-5724)로 연락주시면 고객님의 간단한 정보확인후 \n나머지 궁금하신 부분은 확인이 가능합니다\n'],회원
27,['\nA\n로그인 후 사이트 상단 [마이페이지]에서 정보 수정이 가능합니다.\n단  아이디는 가입이후 수정이 불가합니다\n'],회원
28,['\nA\n예치금과 적립금은 회원님들께만 적용되는 사항으로 \n로그인 후 사이트 상단 [마이페이지]를 클릭하시면 보유하고 계시는 적립금과 예치금을 확인하실수 있으며 \n이 금액들은 구매시 현금처럼 사용이 가능하고  \n적립된 날짜 및 적립 내역 확인이 가능합니다\n'],회원
29,['\nA\n1) 사이트상 확인하는 방법 :\n사이트 상단 로그인(LOGIN) > 아이디/비밀번호 찾기 > 이름 / 가입시 기재한 이메일주소를 통해 고객님인증이 확인되면 고객님 정보에 등록되어있던 해당 이메일로 비밀번호가 발송됩니다. \n임시 비밀번호(PW)로 로그인 후 [내정보 MYINFO]에서 비밀번호 수정이 가능합니다.\n\xa0 \n2) 고객센터로 문의하는 방법\n\xa0 \n룸페커 고객센터(1661-5724)로 전화를 주시면 \n본인정보 확인후 아이디 안내 및 임시비밀번호를 고객님께 문자로 전송해드리고 있습니다\n'],회원
30,['\nA\n개개인의 컴퓨터상의 오류사유가 다양하여 아래 3가지 방법을 모두 안내드립니다\n\xa0 \n1) 익스플로러>도구> 인터넷 옵션 > 개인정보> 낮음으로 변경하신후 다시 로그인 해주세요.\n만약 변경했는데도 안되신다면 재부팅후 다시 로그인 해주시면 된답니다.\n\xa0 \n2) 익스플로러>도구> 인터넷 옵션 > 보안 > 신뢰할수있는 사이트(사이트클릭) > \n웹사이트 주소에 을 입력하시고 로그인 해주시면 된답니다\n\xa0 \n3) 인터넷 익스플로어 상단의 도구\n익스플로러>도구> 인터넷 옵션> 일반 > 파일(파일삭제) 및 쿠키삭제 해주신 후 로그인 해주시길 바랍니다.\n'],회원
31,['\nA\n저희 룸페커에서는 가입시 기재하신 연락처 또는 이메일주소로 자동발송해드리고 있습니다\n이경우 가입시 실수로 잘못 기재가 되었거나  메일주소 변경 등의 오기재로 인해\n간혹 잘못 발송이 될 수 있답니다.\n룸페커 고객센터(1661-5724)로 연락주셔서  안내를 받고계시는 메일주소 또는 연락처를 말씀주시면 더이상 받지않으시도록 수정받으실수 있습니다\n'],회원
32,['\nA\n회원가입 탈퇴 후 바로 재가입이 가능합니다 \n하지만 탈퇴 후 탈퇴전\xa0 아이디에 주문서가 존재시\n동일 아이디로 재가입이 되지 않습니다.\n'],회원
33,['\nA\n로그인 후 사이트 상단 [마이페이지]를 클릭하신후 \n좌측 메뉴의 [회원탈퇴신청] 버튼을 통해 가능합니다.\n'],회원
34,['\nA\n신규가입(재가입)시  [아이디 중복찾기]로 확인 후 \n기존 아이디로의 가입여부가 확인됩니다.\n'],회원
35,['\nA\n대한민국 국적인 경우 회원가입은 가능합니다. \n대한민국 국적이 아니라면 고객센터(1661-5724)로 연락주셔서\n고객님의 [이름  연락처  주소  가입시 사용ID  비밀번호]\n등을\xa0알려주시면 확인 후 직접 회원가입을 해드립니다.\n회원가입 이후에는 로그인하셔서 고객님께서만 아시는 비밀번호로 꼭 변경해주시기 바랍니다\n'],회원
36,['\nA\n회원 아이디는 처음 가입하신 이후에는 변경할 수 없어  \n탈퇴후 신규가입시 변경만 가능합니다\n새로 가입 후에는 이전 아이디의 보유된 적립금/예치금 등은 이관이 되지 않는점\xa0참고 부탁드립니다\n'],회원
37,['\nA\n회원탈퇴 이후에는 그동안 구입하셨던 상품의 대한 주문내역 및 적립금 및 쿠폰 내역도 확인이 불가합니다. \n이점 참고하시어 신중한 결정 부탁드립니다.\n룸페커에서는 회원탈퇴시 별도의 회사 승인 없이 탈퇴처리됩니다.\n'],회원
38,금액 상관없이 할부가 가능한가요?,주문
39,주문 후 며칠 내 입금해야 주문취소 되지 않나요?,주문
40,핸드폰결제 후 일부만 취소했는데 재결제를 하라고 하는데요. 왜 해야 하나요?,주문
41,카드결제 후 주문취소 했는데 카드대금에 청구 됐어요,주문
42,현금영수증 신청은 어떻게 하나요?,주문
43,예치/적립금으로 결제한 상품의 대해서 현금영수증 신청이 되나요?,주문
44,신용카드로 결제했는데  다른 방법으로 환불이 가능한가요?,주문
45,개인결제창이 무엇인가요?,주문
46,반품시 예치금 또는 적립금으로 결제한 금액을 환불받을수 있나요?,주문
47,카드결제 후 주문취소 했는데 돈은 언제 입금되나요?,주문
48,예치/적립금과 카드결제와 함께 결제가 가능한가요?,주문
49,적립금결제는 무엇이며 어떻게 결제하나요?,주문
50,예치금결제는 무엇이며 어떻게 결제하나요,주문
51,휴대폰결제는 무엇이며 어떻게 결제하나요?,주문
52,각각 주문서를 작성하여 총 3개의 주문서가 있습니다  한꺼번에 입금해도 되나요?,주문
53,입금했는데 입금확인이 왜 안되나요?,주문
54,입금은행명과 입금자명을 변경하고 싶은데 이미 주문서 작성후에는  변경이 불가한가요?,주문
55,무이자 할부가 가능한 카드가 어떻게 되나요?,주문
56,주문취소 했는데 신용카드가 취소되지 않았어요,주문
57,카드결제 후 일부상품을 취소하고 싶은데 부분취소가 가능한가요?,주문
58,['\nA\n\n카드 결제의 할부와 같은 경우 사용하시는 카드사에 따라 일정 금액 이상부터 할부가 가능합니다.사용하시는 카드사의 할부 가능 금액을 확인해 주시기 바랍니다.\n'],주문
59,['\nA\n결제 방법이 가상계좌일 경우 입금기한안에 입금해 주셔야 주문이 정상 접수 됩니다.입금기한은 주문페이지나  입금 문자시 확인 가능하세요.\n'],주문
60,['\nA\n핸드폰결제인 경우 시스템상 부분취소가 지원되지않아  \n구매 결정하신 상품금액만 재결제후 최초 결제금액이 전체취소되는 방식입니다. \n이 경우 재결제가 완료되고 난 후 최초 결제금액이 취소가 됩니다. \n이 부분은 개인결제창 문의란에서도 상세히 안내드리고 있으며 \n구매하시는 제품의 가격은 업체로 입금해주시거나\n또는 개인결제창을 요청하셔서 원하시는 결제방법으로 재결제 해주셔도 됩니다\n\xa0\n'],주문
61,['\nA\n카드 취소는 당사에서 취소접수후 약 5~6일(평일기준) 후에 \n해당카드사에서 확인이 가능하며  접수와 동시에 취소되지 않아 \n고객님의 결제청구일보다 시일이 소요되어 대금에 청구되는경우가 발생할수 있습니다\n이런경우 익월에 취소된 금액만큼 환급되며  \n환급방법은 카드사마다의 상이할 수 있어  \n취소처리완료일자(안내문자를 발송해드려요)\xa0기준으로\n여유롭게 7일후 해당카드사로 직접 문의주셔야 \n정확한 안내를 받아보실수 있습니다\n'],주문
62,['\nA\n현금영수증은 무통장 입금시에만 발급이 가능하며\n주문건 접수시 요청하시는 번호를 기재후 현금영수증 발급 부분을 클릭해주시면\n입금후 자동발급받으실수 있습니다\n발급조건은 배송완료 후의 주문건으로 처리되고 있으며  \n받아보신 날짜로부터 한달이내 연락 주셔야만 처리가 가능하십니다.\n(발급신청 후 2~3일 뒤 국세청 홈페이지에서 확인가능)\n주문시 요청하지 못하신 고객님께서는 이후 마이페이지란에서 주문건\n상세내역을 클릭후 현금영수증 요청란에서도 요청해주시면 됩니다\n'],주문
63,['\nA\n예치금/적립금으로 결제한 상품의 대해서는 현금영수증 발급이 불가합니다.\n\xa0현금영수증 발급은 현금으로 [무통장입금]만 결제시 발행이 됩니다.\n'],주문
64,['\nA\n카드결제는 카드승인취소만 가능하며  현금환불은 불가합니다.\n단  룸페커 예치금 환급으로 처리가 가능합니다\n'],주문
65,"['\nA\n개인결제창은 요청하신 금액으로 고객님을 위한\xa0상품을 준비해드리는 창입니다\n사이트 우측 ""개인결제"" 란을 클릭해주시거나\n또는 사이트 우측 상단 상품검색창에 고객님의 성함으로 검색하시면\n저희가 준비해드린 개인결제창을 확인하실수 있습니다\n준비해드리는 용도는\n예를들어 핸드폰 결제인 경우 전체취소만 가능한 관계로 \n일부 상품금액만 환불받으셔야 할 경우 \n전체 취소 이전에 구매하신 상품에 관하여\xa0재결제 안내를 드리고 있습니다.\n이때 동일 상품으로 결제시 새로운 상품의 결제가 추가로 이루어지므로 \n반드시 안내해 드리는 전용 결제창을 통하여 결제를 해주셔야 \n정상 취소진행이 가능합니다.\n개인결제창을 결제해주시고 1~2일 기다려주시면 원주문서 결제건이 일괄 취소되며 카드사로부터 일주일 후(평일기준) 취소내역을 확인받으실 수 있습니다.\n개인결제는 장바구니에 담지 마시고 단독결제를 하셔야하며 \n바탕화면 아이콘으로 입장시 결제가 취소될수 있으니 \n개인결제창 결제시에는 아이콘으로 입장하지 마시고 결제부탁드립니다\n']",주문
66,['\nA\n- [예치금] 가능합니다. 예치금은 실제 결제가 이루어진 금액을 예치해두는 것임으로 정산이 가능합니다. 단  카드결제 후 예치금 환불인 경우 → 이전 결제한 카드취소로만 가능하며 \xa0 현금결제(무통장입금) 후 예치금 환불인 경우 → 계좌 환불로만 환불받을 수 있으며  1년전 카드결제건이라 하더라도 실제 결제했던 해당 날짜의 주문건으로만 취소되어 장기간 누적된 경우 실제 환불\xa0처리가 어렵거나 수수료가 차감될수 있어  초기 결정시 신중한 선택부탁드립니다 \n- [적립금] 불가합니다. 룸페커의 서비스 포인트로 현금화되지않습니다\n'],주문
67,['\nA\n카드결제는 현금환불이 아닌 카드승인취소처리가 된답니다.각  카드사마다 취소처리로 인해 환급받으시는 방법은 상이할 수 있사오니 카드사로부터 정확한 확인이 가능합니다.\n'],주문
68,['\nA\n\xa0가능합니다. 사용하고 싶은만큼 예치/적립금 사용 후 남은 차액만  원하시는 결제방법으로 결제해주시면 됩니다.\n'],주문
69,['\nA\n적립금으로 결제시 사용가능한 적립금 확인 후  결제방법을 무통장결제(아무은행이나 선택)로 선택하신 후 결제하시면 됩니다.\n'],주문
70,['\nA\n고객님이 보유하고 있는 예치금으로 결제하는 것을 말합니다. 예치금으로 결제시  사용가능 예치금 확인후 결제방법을 무통장결제(아무은행이나 선택) 선택 후 결제해주시면 됩니다\n'],주문
71,['\nA\n주문금액을 휴대폰으로 결제하는 방식으로 인증번호가 발송되며  익월 휴대폰의 요금에 함께 청구됩니다.<결제방법>상품선택 → 결제하기 → 주문자정보/배송정보 입력 → 상품주문하기 →PAYMENT(스크롤하단내리기) 휴대폰결제 선택 → 휴대폰 결제창(인증번호 및 세부내용 입력) → 주문결제 완료※ 휴대폰결제의 경우에는 현금영수증 및 세금계산서가 발급되지 않습니다.\n'],주문
72,['\nA\n함께 입금가능하나  BEE BANK라는 자동입금확인 시스템에서는 주문금액과 일치하지 않아 접수되지 않습니다꼭  총 입금금액과 주문일자 기재하시어 [입금/재결제 확인]게시판 또는 고객센터로 문의주셔야 확인이 가능합니다\n'],주문
73,['\nA\n1. 입금금액과 주문금액이 일치하지 않는 경우 \xa02. 입금자명과 주문자명이 일치하지 않는 경우BEE BANK라는 자동입금확인 시스템에서 자동 확인이 되지않다보니 실시간 입금확인이 되지 않습니다. 이런 사유로 입금자명  주문금액이 변경되는 경우 [입금/재결제 확인]게시판 또는 고객센터로 문의주셔야 수동확인가능합니다. 입금확인이 되지 않는 경우 게시판 > 미확인 입금자 에서도 확인이 가능합니다.CD기를 통한 입금시 입금액의 잔액입금이 어려워 금액을 초과하여 넣거나 입금자 성함을 기재하기 어려운 경우 주문서에 기재하신 연락처로 입금시 등록해주시기 바랍니다.\n'],주문
74,['\nA\n이미 주문서작성이 완료되었다면  변경처리가 불가합니다.입금은행명과 입금자명 변경시 [입금/재결제 확인]게시판 또는 고객센터로 문의주셔야 누락없이 확인이 가능합니다.주문서 작성시  입금자와 주문자가 다를 경우 입금자명 기재란에 꼭 기재해주시길 바랍니다.입금확인이 되지 않는 경우 게시판 > 미확인 입금자 에서도 확인이 가능합니다.\n'],주문
75,['\nA\n무이자할부가 가능한 카드는 매년  매월 적용되는 카드가 변경될 수 있습니다.사이트 좌측 카테고리 란 [NOTICE]란에서 매월 무이자할부 카드를 안내드리고 있습니다.\n'],주문
76,['\nA\n카드결제는 결제함과 동시에 바로 승인이 됨으로 취소처리가 바로 진행되지 않아  취소접수후 넉넉히 약 7~10일 후에 카드사에서 취소확인이 가능합니다. 룸페커 처리일 2~3일 \xa0 카드결제 대행사 2~3일 \xa0 카드사 1~5일정도의 처리기간이 소요되며  결제일에 따라 청구서에는 내역이 나왔더라도 카드사 별 환급일자 및 방법이 달라 해당 카드사로 문의주셔야 정확한 안내가 확인이 가능합니다. \n'],주문
77,['\nA\n카드 부분취소의 경우 사용하신 카드에 따라 가능/불가능할수 있습니다.\n- 부분취소 가능한 카드의 경우  부분취소 하고자 하는 상품의 금액만 -(마이너스)처리되어  실 수령상품의 금액만큼만 결제가 됩니다.- 부분취소가 불가한 카드의 경우 카드사 즉시할인(청구서할인)  카드사포인트사용시 체크  법인  기프트카드 사용시 재결제(또는 예치금적립) 관련 연락이 따로 갈수도 있습니다. 무이자할부 적용시  부분취소를 제외한 실 수령금액이 5만원 미만이 되는 경우 일시불로 전환될 수도 있습니다.\n'],주문
78,주문 후 결제 수단을 변경할 수 있나요?,주문
79,한꺼번에 결제했는데 주소지를 각각 다른 곳으로 배송이 가능한가요?,주문
80,계좌입금 하려는데 계좌번호가 어떻게 되나요?,주문
81,주문완료후 내역확인은 어디서 하나요,주문
82,옵션(색상/사이즈/배송지 등) 변경은 어디서 하나요?,주문
83,입금을 했는데 주문접수가 되지않았어요,주문
84,전화로 주문하고 싶어요,주문
85,장바구니에 물건을 담아뒀는데 오늘 보니깐 없어졌어요  어떻게 된건가요?,주문
86,[입고예정]이라고 기재되었는데 공지된 날짜에 입고가 되나요? 저도 구매할 수 있나요?,주문
87,비회원 주문조회는 어떻게 하나요?,주문
88,주문내역 확인은 어디서 하나요?,주문
89,여러가지 상품을 함께 주문하려고 합니다. 어떻게 구매를 해야 할까요?,주문
90,따로 결제했는데 묶음 발송 요청이 가능한가요?,주문
91,비회원으로 주문하고 싶어요,주문
92,['\nA\n주문이 완료된 후에는 결제수단 변경이 어렵습니다. 주문 취소 후 재 주문 부탁드립니다.- 주문 취소 방법 -▶ 모바일- 취소 : 마이페이지 > 주문내역 > 주문취소 / 선택상품 취소\xa0▶ PC- 마이페이지 > 주문내역 > 주문상세 > 취소\n'],주문
93,['\nA\n\n한주문건에서 상품을 나누어 다른 주소로 배송은 불가합니다.\xa0\n'],주문
94,['\nA\n\n현재 가상계좌 입금 시스템으로 운영중이며 주문 시 고객님께서만 입금하실 수 있는 1회성 가상계좌번호가 부여 됩니다.주문 후 입금 기한내에 입금해 주셔야 정상 접수 되며 입금기간이 지나 입금하실 경우 부여된 가상계좌번호가 사라져 입금이 불가합니다.이와 같은 경우 새로 주문 후 입금해 주셔야 합니다.\xa0\n\xa0\n'],주문
